"data";"mu";"gamma"
2008-09-01;0,397968821964801;-0,216495636980658
2008-10-01;0,437872113406879;-0,105051672891009
2008-11-01;0,416896402664851;0,115384550600309
2008-12-01;0,383630226015234;0,144293216086996
2009-01-01;0,353813143091313;0,550671424772073
2009-02-01;0,357080414374918;-0,0904913144345975
2009-03-01;0,385493047572367;0,158316811720711
2009-04-01;0,384497236713464;0,124399990276594
2009-05-01;0,400736964560887;-0,0270330952361814
2009-06-01;0,409591293082185;-0,280884515186668
2009-07-01;0,421855058976998;-0,185684641825191
2009-08-01;0,38798335329267;-0,227370549484066
2009-09-01;0,336612528849452;-0,184474065034685
2009-10-01;0,272914978743875;-0,108882240372905
2009-11-01;0,277494774487831;0,108955695506641
2009-12-01;0,338244455742692;0,12638572742567
2010-01-01;0,49873426907957;0,579075911233097
2010-02-01;0,56557251430595;-0,067369554571925
2010-03-01;0,552356511723781;0,178380289122627
2010-04-01;0,481823558775474;0,136299868829814
2010-05-01;0,348300169411102;-0,0296776268294483
2010-06-01;0,262911202077898;-0,308932293779999
2010-07-01;0,249801115262421;-0,24177740141726
2010-08-01;0,332696415559364;-0,237573912402881
2010-09-01;0,493346662152592;-0,157169292448713
2010-10-01;0,599250828860893;-0,0983672677692853
2010-11-01;0,666103471652137;0,11316439613851
2010-12-01;0,636115466464083;0,132892207695425
2011-01-01;0,628027762089992;0,584709672568589
2011-02-01;0,594496206910815;-0,0623671701461639
2011-03-01;0,579678851676708;0,186328130832232
2011-04-01;0,589743079487475;0,13295742003681
2011-05-01;0,498874490440118;-0,0204807169656054
2011-06-01;0,393987173370064;-0,320022403560541
2011-07-01;0,401913903198163;-0,27513888654704
2011-08-01;0,483940392458157;-0,229740866301993
2011-09-01;0,501287050790558;-0,144669620619231
2011-10-01;0,454923543432845;-0,0954221358645701
2011-11-01;0,452662838641287;0,095807406974981
2011-12-01;0,458463404737907;0,146881279726945
2012-01-01;0,382238097314624;0,583401787194445
2012-02-01;0,374795801160288;-0,0526639475859275
2012-03-01;0,403789445879708;0,199964305932868
2012-04-01;0,434448327080484;0,103276440276403
2012-05-01;0,472872002639229;-0,0153538179642294
2012-06-01;0,483552357731093;-0,303348562614189
2012-07-01;0,525576659036573;-0,289057526320137
2012-08-01;0,575044076134226;-0,237346284531067
2012-09-01;0,579074468435032;-0,14753548851097
2012-10-01;0,534914305030576;-0,0813246017864248
2012-11-01;0,479036802080914;0,0812428891416746
2012-12-01;0,472133320470874;0,139974637543569
2013-01-01;0,443947210024634;0,599529683676771
2013-02-01;0,430637386289868;-0,0342860437141274
2013-03-01;0,446809906755845;0,212702050965988
2013-04-01;0,436105857268109;0,0744954994567927
2013-05-01;0,421210962771984;-0,0173164185464047
2013-06-01;0,443552572203661;-0,277652294483615
2013-07-01;0,384222380437583;-0,301035361032939
2013-08-01;0,437231926673563;-0,255623370435586
2013-09-01;0,482045490999021;-0,162312725346548
2013-10-01;0,535602702211931;-0,0705566063882115
2013-11-01;0,551436036553576;0,0777621469509602
2013-12-01;0,544745313227562;0,126860658637998
2014-01-01;0,52988152540883;0,619636716849792
2014-02-01;0,585897619137633;-0,00798928356109412
2014-03-01;0,605616694244988;0,218323699590588
2014-04-01;0,613768183912191;0,0444681091930405
2014-05-01;0,572287736235793;-0,00877057344315693
2014-06-01;0,55014703642347;-0,272808534265359
2014-07-01;0,504606918387408;-0,283949497510516
2014-08-01;0,512687254585711;-0,277218323057139
2014-09-01;0,572033439426932;-0,175119272550138
2014-10-01;0,590019161040917;-0,0696936116327652
2014-11-01;0,648124797852779;0,0687016432960998
2014-12-01;0,735923854070824;0,1104337567663
2015-01-01;0,866538214099325;0,6570007858267
2015-02-01;0,906914577963775;0,00716081020887498
2015-03-01;0,922594692283319;0,221411320992714
2015-04-01;0,820667671081726;0,00214023519973341
2015-05-01;0,81325154858926;0,00580838875599395
2015-06-01;0,849863017471419;-0,273893242849697
2015-07-01;0,778326421349424;-0,25379926204012
2015-08-01;0,704540396022472;-0,284905556020025
2015-09-01;0,719453821736211;-0,198185402143099
2015-10-01;0,779330615339221;-0,0590041730116624
2015-11-01;0,821594523744722;0,0652956594751199
2015-12-01;0,813630791338152;0,105407429295033
2016-01-01;0,823013074897708;0,672125498519906
2016-02-01;0,705828079879181;0,0184204685584811
2016-03-01;0,572708431330701;0,19544362605374
2016-04-01;0,556309954954978;-0,0148006308005406
2016-05-01;0,562775891841833;0,0311213763663686
2016-06-01;0,548756643456313;-0,302187030699854
2016-07-01;0,52848424740577;-0,223206834087744
2016-08-01;0,479453474318409;-0,270679379447246
2016-09-01;0,381023687100791;-0,209730836382281
2016-10-01;0,327448559118627;-0,0506141560807654
2016-11-01;0,245717099714733;0,0514393138862148
2016-12-01;0,219344322345343;0,107893520403588
2017-01-01;0,191522054535253;0,656350523374695
2017-02-01;0,231288860157873;0,0250430767640466
2017-03-01;0,247149729294637;0,19779277456099
2017-04-01;0,251876607766338;-0,0268930189068982
2017-05-01;0,303216496681781;0,0503625834287177
2017-06-01;0,280614134726262;-0,332845922450062
2017-07-01;0,376468761084484;-0,198731837702241
2017-08-01;0,382518522641055;-0,269244633817685
