data;normal;normal com dummies;diferença em módulo;variação percentual
01/01/2006;-1,18660132;-0,650540863;0,536060457;-82,40227289
01/02/2006;-1,476909105;-0,635524108;0,841384997;-132,3923021
01/03/2006;-1,26690386;-0,204348287;1,062555573;-519,972831
01/04/2006;-0,933032902;0,075437284;1,008470185;1336,832581
01/05/2006;-1,853630196;-1,168553204;0,685076993;-58,62608485
01/06/2006;-1,530126655;-0,294880355;1,2352463;-418,8974545
01/07/2006;-1,827416338;-0,387742143;1,439674196;-371,296807
01/08/2006;-0,605657358;0,776344753;1,382002111;178,0139694
01/09/2006;-0,12835948;0,719421012;0,847780492;117,8420533
01/10/2006;-0,706984613;-0,106559031;0,600425582;-563,4675673
01/11/2006;-1,743491264;-0,352065527;1,391425737;-395,2178298
01/12/2006;-0,178178297;0,836988024;1,015166321;121,2880342
01/01/2007;-0,753426723;-0,517595173;0,23583155;-45,5629345
01/02/2007;-0,149698352;0,818015722;0,967714074;118,3001803
01/03/2007;-0,244914379;0,243424758;0,488339137;200,6119429
01/04/2007;-0,835535905;-0,333728074;0,501807831;-150,3642844
01/05/2007;-0,162017914;0,58338528;0,745403194;127,7720263
01/06/2007;1,127929564;1,595230814;0,46730125;29,29364489
01/07/2007;-0,969239048;-1,020378499;-0,051139452;5,011811949
01/08/2007;0,169147087;0,96739131;0,798244224;82,51513273
01/09/2007;-0,011593579;-0,081201192;-0,069607613;85,72240284
01/10/2007;-0,580640234;-0,481714585;0,098925649;-20,5361541
01/11/2007;-1,355868771;-0,578474777;0,777393994;-134,3868436
01/12/2007;-0,01644078;0,554561687;0,571002467;102,964644
01/01/2008;0,220069295;0,21511559;-0,004953705;-2,302810732
01/02/2008;-1,174162562;-1,2425048;-0,068342238;5,500360053
01/03/2008;-0,239158053;0,600882427;0,84004048;139,8011395
01/04/2008;0,567902676;0,865888;0,297985324;34,41384147
01/05/2008;1,66310355;1,802699497;0,139595947;7,743716953
01/06/2008;1,929235159;1,436705823;-0,492529336;-34,28185003
01/07/2008;-0,021642458;-0,653460985;-0,631818527;96,68802596
01/08/2008;-0,787555378;-1,015826419;-0,228271041;22,47146138
01/09/2008;-0,953030382;-0,901903793;0,051126589;-5,66874088
01/10/2008;0,561254978;0,887401726;0,326146747;36,75299901
01/11/2008;-0,33410236;-0,326555235;0,007547125;-2,311132782
01/12/2008;-0,700792481;-0,73993205;-0,039139569;5,289616643
01/01/2009;-0,261388661;-0,130637768;0,130750893;-100,0865944
01/02/2009;-0,338959274;-0,335916156;0,003043118;-0,905915817
01/03/2009;0,165960784;0,45355954;0,287598756;63,40926182
01/04/2009;-0,340337204;-0,397750091;-0,057412887;14,43441192
01/05/2009;-0,002470663;0,225363142;0,227833805;101,096303
01/06/2009;-0,147652257;-0,199123641;-0,051471383;25,84895655
01/07/2009;-0,32213335;0,009892844;0,332026194;3356,225751
01/08/2009;-0,371071028;-0,262247411;0,108823616;-41,49654552
01/09/2009;0,007022812;0,32312018;0,316097368;97,82656351
01/10/2009;-0,963722859;-1,084446765;-0,120723907;11,13230362
01/11/2009;-1,066491011;-0,181790836;0,884700175;-486,6582908
01/12/2009;-1,346883036;-1,069937155;0,276945881;-25,8843129
01/01/2010;1,200075156;2,149382855;0,949307699;44,16652422
01/02/2010;1,121140789;0,740750751;-0,380390038;-51,35196111
01/03/2010;0,853680732;0,727756019;-0,125924713;-17,30314965
01/04/2010;0,586120782;0,339957216;-0,246163567;-72,41016075
01/05/2010;-0,57675481;-1,031186929;-0,454432118;44,06884006
01/06/2010;-1,089230538;-1,037065979;0,052164559;-5,03001357
01/07/2010;-1,867748872;-1,520766544;0,346982329;-22,8162784
01/08/2010;-1,076585578;-0,28592514;0,790660438;-276,5270791
01/09/2010;0,901064857;1,685520781;0,784455924;46,5408634
01/10/2010;0,958767482;0,799797354;-0,158970128;-19,87630078
01/11/2010;1,228216488;1,505361323;0,277144834;18,41051913
01/12/2010;0,146076139;-0,452385959;-0,598462097;132,2901575
01/01/2011;0,74974844;0,712620789;-0,037127651;-5,210015143
01/02/2011;0,396537337;-0,106702593;-0,503239929;471,6285864
01/03/2011;0,351490506;0,064063906;-0,2874266;-448,6560617
01/04/2011;1,137290749;0,987354833;-0,149935916;-15,18561627
01/05/2011;0,441378663;-0,316451114;-0,757829777;239,4776773
01/06/2011;-0,908087616;-1,439304411;-0,531216795;36,90788346
01/07/2011;-1,185897502;-0,950839889;0,235057614;-24,72105099
01/08/2011;0,315701119;0,740723663;0,425022545;57,37936639
01/09/2011;0,659352272;0,513313707;-0,146038565;-28,45015883
01/10/2011;-0,216792683;-0,588260221;-0,371467538;63,14680554
01/11/2011;-0,327795242;-0,072014222;0,25578102;-355,1812564
01/12/2011;0,442619404;0,544985525;0,10236612;18,78327327
01/01/2012;-0,739969027;-1,262682279;-0,522713252;41,39705299
01/02/2012;-0,330500576;0,048090733;0,378591309;787,2437912
01/03/2012;0,033801188;0,047183252;0,013382064;28,36189393
01/04/2012;-0,27501278;-0,243794088;0,031218692;-12,80535237
01/05/2012;0,550162057;0,798703197;0,24854114;31,11808506
01/06/2012;0,192296204;-0,107327515;-0,299623719;279,1676664
01/07/2012;-0,274576407;-0,193672944;0,080903463;-41,77323967
01/08/2012;0,266535981;0,465358846;0,198822865;42,72463422
01/09/2012;0,66784491;0,64677637;-0,02106854;-3,257469002
01/10/2012;0,519432277;0,203322407;-0,31610987;-155,472225
01/11/2012;-0,544219454;-0,762756201;-0,218536748;28,6509303
01/12/2012;-0,048534846;0,163123608;0,211658454;129,7534159
01/01/2013;0,012293538;-0,209427254;-0,221720792;105,8700755
01/02/2013;-0,079064871;-0,148043319;-0,068978448;46,5934216
01/03/2013;0,328234876;0,344367904;0,016133028;4,684823485
01/04/2013;-0,264426531;-0,503640522;-0,239213991;47,49697063
01/05/2013;-0,180099142;-0,097861157;0,082237986;-84,03537054
01/06/2013;0,913997094;1,039080076;0,125082983;12,03785785
01/07/2013;-1,404435097;-2,027721168;-0,623286071;30,73825342
01/08/2013;-0,490108202;0,292820969;0,782929171;267,3746945
01/09/2013;-0,11281446;0,034700782;0,147515242;425,1063869
01/10/2013;0,734866421;0,96649188;0,23162546;23,96558774
01/11/2013;0,296451638;0,134748345;-0,161703293;-120,0039171
01/12/2013;0,009966747;-0,031328229;-0,041294976;131,8139492
01/01/2014;-0,059738675;-0,152465984;-0,092727309;60,81835872
01/02/2014;0,921794221;1,019869134;0,098074913;9,61642132
01/03/2014;0,625081805;0,159758603;-0,465323202;-291,2664448
01/04/2014;0,518828434;0,282412531;-0,236415903;-83,71296499
01/05/2014;0,384891701;0,007809369;-0,377082332;-4828,588748
01/06/2014;0,635424852;0,372285359;-0,263139494;-70,68220326
01/07/2014;-0,341976486;-0,819760103;-0,477783617;58,28334594
01/08/2014;-0,804465305;-0,881708153;-0,077242848;8,760591319
01/09/2014;0,374519329;0,7599965;0,385477171;50,72091394
01/10/2014;0,173435167;-0,206372295;-0,379807462;184,039947
