;IPC;mu;gamma;f2;sigma;epsilon;score
jul/04;0,59;0,572414668;-0,067178321;-1,689479434;0,184615604;0,45913591;0,083617309
ago/04;0,79;0,606107291;-0,069599727;-1,689479434;0,184615604;1,3730824;0,225806125
set/04;0,01;0,697093245;-0,381080866;-1,689479434;0,184615604;-1,657565084;-0,259622822
out/04;0,1;0,592481246;-0,21392309;-1,689479434;0,184615604;-1,508854891;-0,242634274
nov/04;0,37;0,494714586;0,002809961;-1,689479434;0,184615604;-0,690757143;-0,123686509
dez/04;0,63;0,444876544;0,188454511;-1,689479434;0,184615604;-0,018043194;-0,003330985
jan/05;0,85;0,443534363;0,403518276;-1,689479434;0,184615604;0,015964852;0,002947312
fev/05;0,43;0,444721948;-0,08749454;-1,689479434;0,184615604;0,394184406;0,072044584
mar/05;0,7;0,473751476;0,160740087;-1,689479434;0,184615604;0,35483695;0,064976391
abr/05;0,88;0,499932957;0,281888904;-1,689479434;0,184615604;0,53179762;0,096405057
mai/05;0,79;0,538778254;0,081652109;-1,689479434;0,184615604;0,918501112;0,160750081
jun/05;-0,05;0,603550631;-0,414032294;-1,689479434;0,184615604;-1,297389456;-0,21588626
jul/05;0,13;0,516561772;-0,182209635;-1,689479434;0,184615604;-1,106906095;-0,189270752
ago/05;-0,44;0,440297322;-0,383983353;-1,689479434;0,184615604;-2,688364145;-0,337624946
set/05;0,09;0,304255275;-0,165472692;-1,689479434;0,184615604;-0,264238673;-0,048562073
out/05;0,42;0,284687752;0,002410127;-1,689479434;0,184615604;0,719885639;0,128569014
nov/05;0,57;0,336493141;0,112759377;-1,689479434;0,184615604;0,654048086;0,117479222
dez/05;0,46;0,383830028;0,177220381;-1,689479434;0,184615604;-0,547355737;-0,099119183
jan/06;0,65;0,343891106;0,375047127;-1,689479434;0,184615604;-0,373414986;-0,068318707
fev/06;0,01;0,316362877;-0,20666276;-1,689479434;0,184615604;-0,540041658;-0,097844337
mar/06;0,22;0,276937638;0,033003042;-1,689479434;0,184615604;-0,487178106;-0,088573532
abr/06;0,34;0,241247963;0,100697168;-1,689479434;0,184615604;-0,010536114;-0,001945117
mai/06;-0,19;0,240464201;-0,187220677;-1,689479434;0,184615604;-1,317567526;-0,218567891
jun/06;-0,4;0,152394809;-0,265867267;-1,689479434;0,184615604;-1,552022346;-0,247721773
